,x_Nose,y_Nose,x_Neck,y_Neck,x_RShoulder,y_RShoulder,x_RElbow,y_RElbow,x_RWrist,y_RWrist,x_LShoulder,y_LShoulder,x_LElbow,y_LElbow,x_LWrist,y_LWrist,x_RHip,y_RHip,x_RKnee,y_RKnee,x_RAnkle,y_RAnkle,x_LHip,y_LHip,x_LKnee,y_LKnee,x_LAnkle,y_LAnkle,x_REye,y_REye,x_LEye,y_LEye,x_REar,y_REar,x_LEar,y_LEar,Right_Up_Angle,Left_Up_Angle,Right_Low_Angle,Left_Low_Angle
0,150.0,360.0,153.0,381.0,135.0,370.0,123.0,344.0,133.0,303.0,170.0,386.0,208.0,386.0,220.0,350.0,118.0,470.0,118.0,537.0,138.0,595.0,145.0,475.0,155.0,548.0,158.0,605.0,148.0,350.0,158.0,350.0,140.0,350.0,165.0,355.0,38.48210157291172,71.56505117707799,19.025606037568664,4.787400379998404
1,150.0,360.0,153.0,381.0,135.0,370.0,123.0,344.0,133.0,303.0,170.0,386.0,210.0,386.0,218.0,350.0,118.0,470.0,118.0,537.0,138.0,595.0,145.0,475.0,153.0,548.0,158.0,605.0,148.0,350.0,155.0,350.0,140.0,350.0,165.0,355.0,38.48210157291172,77.47119229084849,19.025606037568664,1.2409189888805578
2,150.0,360.0,153.0,381.0,135.0,370.0,123.0,344.0,133.0,303.0,170.0,386.0,208.0,386.0,215.0,344.0,118.0,470.0,118.0,537.0,138.0,595.0,145.0,475.0,153.0,548.0,158.0,605.0,148.0,350.0,155.0,350.0,140.0,350.0,165.0,355.0,38.48210157291172,80.53767779197439,19.025606037568664,1.2409189888805578
3,150.0,360.0,153.0,381.0,135.0,370.0,123.0,344.0,133.0,303.0,170.0,386.0,208.0,381.0,213.0,339.0,118.0,470.0,118.0,537.0,138.0,590.0,145.0,475.0,153.0,543.0,158.0,605.0,148.0,350.0,155.0,350.0,140.0,350.0,165.0,355.0,38.48210157291172,75.71516778583134,20.6744247608739,2.099187489096563
4,150.0,360.0,153.0,381.0,135.0,376.0,123.0,344.0,133.0,303.0,170.0,386.0,208.0,370.0,208.0,329.0,118.0,470.0,118.0,537.0,138.0,595.0,145.0,475.0,153.0,543.0,158.0,605.0,148.0,350.0,155.0,350.0,140.0,355.0,165.0,355.0,34.26300622366326,67.16634582208248,19.025606037568664,2.099187489096563
5,150.0,360.0,153.0,381.0,135.0,376.0,123.0,344.0,133.0,303.0,170.0,386.0,208.0,365.0,205.0,323.0,118.0,470.0,118.0,537.0,138.0,590.0,145.0,475.0,153.0,543.0,158.0,605.0,148.0,350.0,155.0,350.0,140.0,350.0,165.0,355.0,34.26300622366326,65.15919094472127,20.6744247608739,2.099187489096563
6,150.0,360.0,150.0,381.0,133.0,376.0,123.0,344.0,135.0,303.0,168.0,386.0,205.0,365.0,203.0,318.0,120.0,470.0,118.0,532.0,138.0,590.0,145.0,475.0,153.0,543.0,158.0,605.0,145.0,350.0,155.0,350.0,140.0,355.0,165.0,355.0,33.667877062521875,62.85880956554881,20.87321630356328,2.099187489096563
7,150.0,360.0,150.0,381.0,133.0,376.0,123.0,344.0,135.0,303.0,168.0,386.0,203.0,355.0,203.0,313.0,120.0,470.0,118.0,537.0,138.0,595.0,145.0,475.0,150.0,543.0,158.0,605.0,145.0,350.0,155.0,350.0,140.0,355.0,163.0,355.0,33.667877062521875,48.468229258917155,20.735420081710195,3.1470223581837464
8,308.0,350.0,325.0,365.0,303.0,365.0,283.0,334.0,285.0,292.0,353.0,370.0,390.0,329.0,380.0,287.0,305.0,475.0,303.0,553.0,305.0,631.0,338.0,480.0,345.0,553.0,348.0,631.0,305.0,339.0,313.0,344.0,0.0,0.0,330.0,344.0,35.5548527853188,55.45682430732993,2.9376014287715995,3.274770567063037
9,308.0,350.0,325.0,365.0,300.0,365.0,283.0,334.0,285.0,292.0,353.0,370.0,388.0,329.0,380.0,287.0,305.0,475.0,303.0,553.0,305.0,631.0,338.0,480.0,345.0,553.0,348.0,631.0,305.0,339.0,313.0,344.0,0.0,0.0,330.0,350.0,31.466106285594314,51.27030940956133,2.9376014287715995,3.274770567063037
10,308.0,350.0,325.0,365.0,300.0,365.0,283.0,334.0,285.0,292.0,350.0,370.0,388.0,329.0,380.0,287.0,305.0,475.0,303.0,553.0,305.0,631.0,338.0,480.0,345.0,553.0,348.0,631.0,305.0,339.0,313.0,344.0,0.0,0.0,328.0,350.0,31.466106285594314,53.60955375295255,2.9376014287715995,3.274770567063037
11,308.0,350.0,325.0,370.0,300.0,365.0,280.0,334.0,285.0,292.0,350.0,370.0,388.0,329.0,380.0,287.0,305.0,480.0,303.0,553.0,305.0,631.0,338.0,480.0,343.0,553.0,348.0,631.0,303.0,339.0,313.0,344.0,0.0,0.0,328.0,344.0,39.61751636585132,53.60955375295255,3.0381555191346594,0.2504608085373066
